counter,timestamp,deadtime,height_1,height_2,time_difference
3.0,1751874180.982688,0.021881588694512507,1354.0,827.0,73.0
7.0,1751874181.004821,0.003913357760662031,238.0,288.0,73.0
8.0,1751874181.017807,0.00616651418115279,1439.0,615.0,73.0
28.0,1751874181.2194974,0.0034506101469504633,1281.0,1331.0,74.0
29.0,1751874181.2337396,0.0064827099743042845,594.0,203.0,73.0
31.0,1751874181.256155,0.02834008097165992,1388.0,197.0,73.0
34.0,1751874181.2897804,0.013873760247663819,317.0,721.0,90.0
38.0,1751874181.3262103,0.005833675028888806,1372.0,1339.0,74.0
40.0,1751874181.3385096,0.014899836030512583,943.0,255.0,73.0
41.0,1751874181.343573,0.007972826343350474,483.0,567.0,74.0
42.0,1751874181.3569272,0.006475831272572008,1437.0,838.0,77.0
60.0,1751874181.5184634,0.1400593471810089,1369.0,1336.0,74.0
65.0,1751874181.5902383,0.01878506952915345,578.0,985.0,74.0
71.0,1751874181.675142,0.013086085089539528,1374.0,198.0,72.0
73.0,1751874181.6920846,0.0154547223663726,1373.0,656.0,74.0
81.0,1751874181.8035803,0.02398224518864487,3365.0,784.0,74.0
82.0,1751874181.811447,0.021942053582252395,1420.0,484.0,74.0
89.0,1751874181.8870993,0.024326846174353507,222.0,259.0,73.0
91.0,1751874181.8922193,0.04258985721319547,1298.0,234.0,72.0
94.0,1751874181.9590082,0.002801231275668062,1435.0,1013.0,74.0
95.0,1751874181.9622972,0.06182834216936524,715.0,665.0,74.0
96.0,1751874181.9626899,0.17136659436008678,1345.0,420.0,74.0
102.0,1751874182.0401406,0.4312796208530806,757.0,302.0,72.0
103.0,1751874182.047171,0.03128210226331312,1053.0,322.0,87.0
104.0,1751874182.0555458,0.02348370139702311,1376.0,278.0,116.0
108.0,1751874182.1021411,0.01170605409574175,1816.0,649.0,91.0
109.0,1751874182.1288018,0.005395860783206504,801.0,1340.0,74.0
110.0,1751874182.1470299,0.005102777012579854,2478.0,538.0,73.0
113.0,1751874182.1719787,0.02613228623654458,1426.0,423.0,73.0
126.0,1751874182.2815952,0.006820975364852933,1328.0,963.0,75.0
128.0,1751874182.2862947,0.032567049808429116,590.0,2149.0,73.0
130.0,1751874182.289126,0.016830430975775853,1389.0,1335.0,74.0
138.0,1751874182.4386983,0.01475442632789837,1362.0,538.0,74.0
147.0,1751874182.5267124,0.012943919646060027,840.0,817.0,74.0
153.0,1751874182.6594849,0.0032235829236782693,585.0,713.0,74.0
154.0,1751874182.7021182,0.003654189447059021,727.0,464.0,73.0
156.0,1751874182.734003,0.01169213772785859,1335.0,782.0,74.0
161.0,1751874182.773636,0.020147718773373225,1319.0,824.0,74.0
163.0,1751874182.7861645,0.02915686933154182,2047.0,644.0,-8.0
164.0,1751874182.80571,0.010554537844690582,697.0,1331.0,73.0
168.0,1751874182.8430943,0.021451392058420813,1407.0,360.0,74.0
175.0,1751874182.900953,0.015868130364898602,1357.0,373.0,72.0
176.0,1751874182.9588397,0.0026421710250141986,1349.0,445.0,73.0
179.0,1751874182.9731522,0.019954830925347274,1405.0,732.0,73.0
192.0,1751874183.1690383,0.00899597473105187,1340.0,1335.0,74.0
197.0,1751874183.2091227,0.03220815752461322,1396.0,828.0,73.0
201.0,1751874183.3353443,0.0031583615801311494,1377.0,849.0,75.0
204.0,1751874183.4012532,0.008364675793591094,1304.0,191.0,100.0
207.0,1751874183.4152877,0.041805833890002225,1313.0,869.0,74.0
214.0,1751874183.52449,0.09389895138226882,1326.0,333.0,73.0
229.0,1751874183.685392,0.015373503920759389,824.0,550.0,73.0
238.0,1751874183.8014781,0.004476789567932412,1055.0,1330.0,73.0
241.0,1751874183.8423924,0.0041353737862552245,1385.0,198.0,73.0
252.0,1751874183.9733908,0.06032632030914556,1275.0,1335.0,74.0
260.0,1751874184.0004675,0.009279033802194565,1289.0,499.0,74.0
265.0,1751874184.041098,0.2138364779874214,1911.0,880.0,74.0
271.0,1751874184.1362693,0.0027033346830995955,1097.0,1340.0,73.0
277.0,1751874184.2321455,0.014923576844385606,1379.0,878.0,73.0
286.0,1751874184.3050504,0.11469072164948453,1390.0,463.0,72.0
288.0,1751874184.3213997,0.023290258876057183,2801.0,797.0,73.0
294.0,1751874184.5053296,0.054721877468125915,1333.0,355.0,73.0
300.0,1751874184.618741,0.010402659021135158,1307.0,295.0,73.0
305.0,1751874184.6504524,0.015093556326542716,1454.0,677.0,74.0
307.0,1751874184.7054214,0.015871816189252513,1375.0,871.0,74.0
319.0,1751874184.8540566,0.02948847993044486,578.0,460.0,73.0
324.0,1751874184.98298,0.006047106963243668,1372.0,873.0,74.0
333.0,1751874185.0804656,0.036677740863787375,1384.0,1223.0,75.0
344.0,1751874185.1876113,0.004873245126754873,1366.0,508.0,73.0
345.0,1751874185.1972718,0.0062159484893511635,202.0,829.0,73.0
346.0,1751874185.2151484,0.005204728182737873,1308.0,273.0,73.0
348.0,1751874185.2572372,0.004585348379007702,1408.0,345.0,74.0
349.0,1751874185.2575762,0.2835164835164835,1375.0,1982.0,73.0
350.0,1751874185.2620497,0.030894904958894066,782.0,1088.0,74.0
368.0,1751874185.478556,0.009316469426097736,336.0,526.0,73.0
374.0,1751874185.5398183,0.012704856412569538,1361.0,705.0,74.0
380.0,1751874185.6521103,0.039586696803358086,1388.0,208.0,72.0
392.0,1751874185.7368796,0.014850310765289178,1390.0,653.0,73.0
394.0,1751874185.7718523,0.007668904478137336,1372.0,811.0,73.0
395.0,1751874185.7820058,0.009369394883413575,1334.0,497.0,82.0
397.0,1751874185.7893481,0.04490891658676894,1074.0,1278.0,74.0
399.0,1751874185.8275728,0.007135681873289688,1355.0,1333.0,74.0
400.0,1751874185.8307204,0.04544051843851257,1399.0,934.0,77.0
403.0,1751874185.8484025,0.06810532567808354,1414.0,730.0,74.0
407.0,1751874185.8652172,0.012405067752110095,572.0,600.0,74.0
412.0,1751874185.903323,0.020802448472096027,1451.0,507.0,73.0
413.0,1751874185.9587834,0.003536283383330544,1346.0,630.0,73.0
416.0,1751874185.9815552,0.006824006198223971,1046.0,889.0,73.0
417.0,1751874185.995688,0.009914489631026124,221.0,1335.0,72.0
421.0,1751874186.0374591,0.02506997687720579,1338.0,632.0,72.0
423.0,1751874186.0611215,0.025623107384113674,1357.0,870.0,74.0
424.0,1751874186.1047957,0.0024355558461513316,1322.0,400.0,73.0
427.0,1751874186.1414213,0.03557944583093364,515.0,836.0,74.0
428.0,1751874186.15689,0.006042249385730401,1404.0,865.0,73.0
429.0,1751874186.1602216,0.019284940411700976,1485.0,832.0,74.0
430.0,1751874186.1697075,0.007134602823694921,1340.0,1332.0,74.0
434.0,1751874186.2034748,0.0042970514226724306,1351.0,557.0,73.0
436.0,1751874186.2246463,0.014532058670644337,1298.0,346.0,73.0
437.0,1751874186.225063,0.14553990610328638,1367.0,728.0,73.0
442.0,1751874186.2589679,0.022076675512393427,1358.0,220.0,71.0
449.0,1751874186.3216538,0.13306772908366535,1383.0,1330.0,73.0
463.0,1751874186.444379,0.18042671614100186,1328.0,444.0,75.0
464.0,1751874186.4898376,0.0033311160810152573,1390.0,361.0,73.0
466.0,1751874186.4977827,0.052471018913971934,1338.0,491.0,74.0
467.0,1751874186.4981487,0.1355397951142632,632.0,874.0,73.0
468.0,1751874186.4985876,0.09293478260869566,892.0,1341.0,73.0
469.0,1751874186.530851,0.002810999048244417,1410.0,1332.0,74.0
472.0,1751874186.5643039,0.023742321102440643,1316.0,584.0,73.0
475.0,1751874186.5881803,0.0045871559633027525,672.0,777.0,74.0
478.0,1751874186.594769,0.007123448630388485,267.0,1230.0,74.0
481.0,1751874186.6024876,0.021867021867021868,4154.0,1330.0,74.0
482.0,1751874186.6165533,0.0066616944096009765,1859.0,483.0,93.0
486.0,1751874186.6907969,0.011907888976446896,570.0,1109.0,76.0
492.0,1751874186.757708,0.0048650697275096876,1364.0,586.0,73.0
497.0,1751874186.871918,0.0019529433646424254,865.0,865.0,74.0
498.0,1751874186.9588013,0.0014895362138348561,514.0,1337.0,73.0
502.0,1751874187.0081713,0.012414531934335319,1342.0,886.0,74.0
504.0,1751874187.0139136,0.0056933138850985745,1394.0,619.0,74.0
518.0,1751874187.1509402,0.050025201612903226,252.0,380.0,74.0
526.0,1751874187.2343032,0.023196963306621677,1394.0,785.0,73.0
528.0,1751874187.2460592,0.009630319975147562,633.0,1331.0,74.0
538.0,1751874187.356431,0.006495492170612116,1357.0,351.0,72.0
541.0,1751874187.4110465,0.01679995040605046,516.0,1341.0,75.0
542.0,1751874187.4675505,0.0020445587336382605,1346.0,1334.0,73.0
545.0,1751874187.4837039,0.017327250659188883,1351.0,570.0,73.0
546.0,1751874187.5019162,0.006693510432463526,1384.0,263.0,71.0
549.0,1751874187.5227447,0.030542102796438056,1361.0,1339.0,74.0
553.0,1751874187.6193485,0.007345766019733276,1327.0,625.0,74.0
555.0,1751874187.6363974,0.2,1304.0,706.0,73.0
557.0,1751874187.685788,0.006229243335427699,1385.0,652.0,73.0
565.0,1751874187.7749045,0.011021830334921425,1390.0,2224.0,75.0
569.0,1751874187.8099139,0.018503668062609523,1351.0,401.0,72.0
577.0,1751874187.86825,0.012063099288586452,1402.0,982.0,74.0
586.0,1751874188.0348368,0.014696992594831494,1359.0,430.0,73.0
595.0,1751874188.134631,0.022155876807039596,1459.0,476.0,73.0
603.0,1751874188.211801,0.010693940963231487,1401.0,434.0,74.0
604.0,1751874188.2179382,0.012939938418365358,1098.0,223.0,73.0
610.0,1751874188.325419,0.016261122923064808,724.0,1326.0,74.0
611.0,1751874188.3281646,0.05351763246500089,271.0,620.0,73.0
614.0,1751874188.370347,0.04723422915492075,1260.0,427.0,72.0
629.0,1751874188.5444903,0.009661052665704883,1429.0,348.0,74.0
633.0,1751874188.592179,0.003585477526278455,767.0,546.0,73.0
636.0,1751874188.641717,0.016099417227706966,496.0,608.0,73.0
645.0,1751874188.7340798,0.16782608695652174,1417.0,824.0,73.0
647.0,1751874188.742882,0.017098671313439336,2132.0,827.0,-82.0
651.0,1751874188.7819457,0.05771912884883596,784.0,507.0,73.0
668.0,1751874188.9725378,0.010805126996501024,1406.0,610.0,74.0
669.0,1751874188.9782975,0.04463634152274386,1343.0,464.0,73.0
671.0,1751874189.006541,0.010243439772368005,1405.0,340.0,73.0
676.0,1751874189.032918,0.035490475895017685,888.0,2938.0,74.0
677.0,1751874189.0507526,0.009460902054977315,619.0,652.0,73.0
678.0,1751874189.0789206,0.005192846916905978,1378.0,678.0,74.0
679.0,1751874189.0985289,0.004597336715282181,1466.0,701.0,72.0
681.0,1751874189.172898,0.0035551424671062186,781.0,438.0,73.0
687.0,1751874189.2321544,0.01310483870967742,1333.0,506.0,72.0
689.0,1751874189.235398,0.05550535691235317,1351.0,1337.0,75.0
692.0,1751874189.2662494,0.011574604629841853,407.0,874.0,74.0
694.0,1751874189.3124175,0.002026273131091977,1404.0,867.0,75.0
697.0,1751874189.3579035,0.21467146714671467,1342.0,720.0,73.0
705.0,1751874189.5147576,0.0434349306536002,1152.0,495.0,73.0
706.0,1751874189.515234,0.15485714285714286,648.0,509.0,73.0
718.0,1751874189.670592,0.01595159515951595,1397.0,718.0,74.0
725.0,1751874189.7369063,0.14655172413793102,1328.0,475.0,74.0
728.0,1751874189.778906,0.028123854891901796,1424.0,471.0,74.0
754.0,1751874190.2261236,0.00913067836410666,672.0,1104.0,73.0
757.0,1751874190.2736518,0.025254367830070127,1352.0,804.0,73.0
761.0,1751874190.2964673,0.01530517478361009,1335.0,889.0,73.0
770.0,1751874190.412811,0.028602227811713978,1348.0,200.0,73.0
773.0,1751874190.4441776,0.04042163153070578,1261.0,983.0,73.0
774.0,1751874190.4616628,0.011470875366091766,1364.0,1339.0,74.0
781.0,1751874190.5088031,0.023399532009359812,1267.0,816.0,74.0
783.0,1751874190.5301416,0.00683748877684923,446.0,616.0,73.0
790.0,1751874190.5833054,0.009248686914820736,624.0,454.0,74.0
791.0,1751874190.6194775,0.003097991238801847,614.0,242.0,72.0
794.0,1751874190.6314764,0.025044722719141325,568.0,806.0,74.0
797.0,1751874190.6524096,0.0254880694143167,1335.0,1192.0,75.0
802.0,1751874190.6965172,0.008784680528344814,1405.0,278.0,81.0
803.0,1751874190.724612,0.006926472826914294,2807.0,803.0,74.0
809.0,1751874190.7946615,0.24818577648766327,1379.0,1339.0,74.0
815.0,1751874190.9588547,0.002555960285307445,1374.0,999.0,85.0
821.0,1751874191.0825548,0.005456758136065638,1306.0,460.0,92.0
824.0,1751874191.094274,0.06718346253229975,372.0,223.0,72.0
825.0,1751874191.107471,0.005325990471187116,1448.0,540.0,-802.0
827.0,1751874191.151113,0.005477185989866229,683.0,219.0,129.0
837.0,1751874191.3028517,0.002072878443207322,742.0,355.0,73.0
838.0,1751874191.3170884,0.010949332174320054,592.0,1412.0,74.0
